team_id,g,w,l,t,pos,pct,gb,streak,magic_number
117,6,4,2,0,2,0.6670,0.0000,2,135
118,6,4,2,0,3,0.6670,1.0000,1,1000
119,6,2,4,0,4,0.3330,1.0000,-2,1000
120,4,1,3,0,5,0.2500,2.0000,-1,1000
121,0,0,0,0,1,0.0000,0.0000,0,77
122,0,0,0,0,1,0.0000,0.0000,0,77
123,0,0,0,0,2,0.0000,0.0000,0,77
124,0,0,0,0,3,0.0000,0.0000,0,77
125,0,0,0,0,1,0.0000,0.0000,0,77
126,0,0,0,0,2,0.0000,0.0000,0,77
127,0,0,0,0,2,0.0000,0.0000,0,77
128,0,0,0,0,3,0.0000,0.0000,0,77
129,0,0,0,0,4,0.0000,0.0000,0,77
130,0,0,0,0,3,0.0000,0.0000,0,77
131,0,0,0,0,4,0.0000,0.0000,0,77
132,0,0,0,0,5,0.0000,0.0000,0,77
133,0,0,0,0,4,0.0000,0.0000,0,77
134,0,0,0,0,5,0.0000,0.0000,0,77
135,0,0,0,0,5,0.0000,0.0000,0,77
136,0,0,0,0,1,0.0000,0.0000,0,77
137,0,0,0,0,1,0.0000,0.0000,0,77
138,0,0,0,0,1,0.0000,0.0000,0,77
139,0,0,0,0,2,0.0000,0.0000,0,77
140,0,0,0,0,3,0.0000,0.0000,0,77
141,0,0,0,0,2,0.0000,0.0000,0,77
142,0,0,0,0,4,0.0000,0.0000,0,77
143,0,0,0,0,2,0.0000,0.0000,0,77
144,0,0,0,0,3,0.0000,0.0000,0,77
145,0,0,0,0,3,0.0000,0.0000,0,77
146,0,0,0,0,5,0.0000,0.0000,0,77
147,0,0,0,0,4,0.0000,0.0000,0,77
148,0,0,0,0,4,0.0000,0.0000,0,77
149,0,0,0,0,5,0.0000,0.0000,0,77
150,0,0,0,0,5,0.0000,0.0000,0,77
151,0,0,0,0,1,0.0000,0.0000,0,69
152,0,0,0,0,1,0.0000,0.0000,0,69
153,0,0,0,0,1,0.0000,0.0000,0,69
154,0,0,0,0,2,0.0000,0.0000,0,69
155,0,0,0,0,2,0.0000,0.0000,0,69
156,0,0,0,0,3,0.0000,0.0000,0,69
157,0,0,0,0,2,0.0000,0.0000,0,69
158,0,0,0,0,3,0.0000,0.0000,0,69
159,0,0,0,0,4,0.0000,0.0000,0,69
160,0,0,0,0,4,0.0000,0.0000,0,69
161,0,0,0,0,3,0.0000,0.0000,0,69
162,0,0,0,0,4,0.0000,0.0000,0,69
163,0,0,0,0,5,0.0000,0.0000,0,69
164,0,0,0,0,5,0.0000,0.0000,0,69
165,0,0,0,0,5,0.0000,0.0000,0,69
166,0,0,0,0,1,0.0000,0.0000,0,69
167,0,0,0,0,2,0.0000,0.0000,0,69
168,0,0,0,0,3,0.0000,0.0000,0,69
169,0,0,0,0,1,0.0000,0.0000,0,69
170,0,0,0,0,1,0.0000,0.0000,0,69
171,0,0,0,0,2,0.0000,0.0000,0,69
172,0,0,0,0,4,0.0000,0.0000,0,69
173,0,0,0,0,3,0.0000,0.0000,0,69
174,0,0,0,0,4,0.0000,0.0000,0,69
175,0,0,0,0,5,0.0000,0.0000,0,69
176,0,0,0,0,2,0.0000,0.0000,0,69
177,0,0,0,0,3,0.0000,0.0000,0,69
178,0,0,0,0,4,0.0000,0.0000,0,69
179,0,0,0,0,5,0.0000,0.0000,0,69
180,0,0,0,0,5,0.0000,0.0000,0,69
181,0,0,0,0,0,0.0000,0.0000,0,0
182,0,0,0,0,0,0.0000,0.0000,0,0
183,0,0,0,0,0,0.0000,0.0000,0,0
184,0,0,0,0,0,0.0000,0.0000,0,0
185,0,0,0,0,0,0.0000,0.0000,0,0
186,0,0,0,0,0,0.0000,0.0000,0,0
187,0,0,0,0,0,0.0000,0.0000,0,0
188,0,0,0,0,0,0.0000,0.0000,0,0
189,0,0,0,0,0,0.0000,0.0000,0,0
190,0,0,0,0,0,0.0000,0.0000,0,0
191,0,0,0,0,0,0.0000,0.0000,0,0
192,0,0,0,0,0,0.0000,0.0000,0,0
193,0,0,0,0,0,0.0000,0.0000,0,0
194,0,0,0,0,0,0.0000,0.0000,0,0
