player_id,opponent_id,ab,h,hr
113,384,1,0,0
113,1920,2,2,1
113,949,1,0,0
113,2363,3,1,0
113,3394,1,0,0
113,1927,1,1,0
113,1922,1,0,0
113,193,4,0,0
113,2951,2,1,0
113,3154,1,0,0
113,197,1,0,0
113,1889,3,0,0
113,195,1,1,0
113,1136,4,0,0
113,1135,1,0,0
113,1134,4,1,0
113,1133,2,1,0
113,1132,1,0,0
113,1129,1,0,0
113,2814,1,0,0
117,524,2,0,0
117,528,1,0,0
117,529,2,1,0
117,522,3,2,0
117,2532,3,0,0
117,527,1,0,0
117,1579,3,1,0
117,389,1,1,0
117,1580,3,1,0
117,1581,1,0,0
117,382,3,1,0
117,1582,1,0,0
117,1920,2,1,0
117,2366,1,0,0
117,949,1,0,0
117,2363,3,1,0
117,1927,1,0,0
117,947,1,1,0
117,1922,4,1,0
117,193,3,1,1
117,2951,3,0,0
117,2955,1,1,0
117,195,2,0,0
117,197,1,0,0
117,1889,3,0,0
117,1136,3,0,0
117,1135,1,0,0
117,1140,1,0,0
117,1134,4,1,0
117,1133,2,0,0
117,1132,1,1,0
117,1129,1,0,0
117,2814,1,0,0
120,527,0,0,0
120,2537,1,0,0
120,1579,1,0,0
120,384,1,0,0
120,952,1,0,0
120,1922,4,0,0
120,193,3,0,0
120,2951,1,0,0
120,1136,1,0,0
120,1135,1,1,0
120,1133,2,1,0
120,1132,1,1,0
120,1129,1,0,0
143,2172,3,1,0
143,1276,2,0,0
144,475,1,0,0
144,1417,1,0,0
144,898,3,0,0
148,474,2,0,0
148,3667,1,0,0
148,2083,1,0,0
148,905,2,0,0
148,336,3,0,0
156,475,3,0,0
156,2173,1,0,0
156,3667,1,0,0
156,2083,1,0,0
156,2989,1,1,0
156,2089,1,0,0
156,11,1,1,0
156,3014,2,1,1
156,1421,1,1,0
156,906,3,0,0
156,3968,1,0,0
156,2647,1,0,0
156,340,1,0,0
156,3540,1,0,0
156,2008,1,0,0
157,474,1,1,0
157,478,1,0,0
157,475,1,0,0
157,3367,1,0,0
157,2987,1,0,0
157,2092,1,0,0
157,3,1,1,1
157,1552,1,0,0
157,906,1,0,0
157,3520,1,0,0
157,2654,1,0,0
157,2008,1,0,0
159,474,3,1,1
159,477,2,1,0
159,479,1,0,0
159,2172,3,0,0
159,2175,1,0,0
159,475,1,0,0
159,2515,3,1,1
159,3367,1,1,0
159,2089,2,2,0
159,1277,1,1,0
159,2083,1,0,0
159,2989,1,1,0
159,1276,2,0,0
159,1417,3,0,0
159,3013,1,0,0
159,11,1,0,0
159,3014,2,0,0
159,1421,1,1,0
159,3,3,0,0
159,8,1,0,0
159,905,3,1,0
159,906,2,2,0
159,3968,1,1,0
159,1578,1,0,0
159,898,3,1,0
159,1552,1,0,0
159,342,2,1,0
159,333,2,1,0
159,2654,1,0,0
159,2647,2,2,0
159,340,1,0,0
159,2005,1,1,0
159,336,3,1,0
159,3520,1,0,0
163,478,1,1,0
163,479,1,0,0
163,2989,1,1,0
163,2089,1,1,0
163,2987,1,0,0
163,1417,2,1,0
163,3013,1,1,1
163,3,3,1,0
163,8,1,0,0
163,342,1,0,0
163,333,1,0,0
163,337,1,0,0
163,340,1,0,0
166,474,3,0,0
166,477,2,1,0
166,2172,3,1,0
166,478,1,0,0
166,475,3,0,0
166,2515,2,0,0
166,2087,2,0,0
166,2089,2,0,0
166,3667,1,0,0
166,2083,1,1,1
166,2989,1,0,0
166,1276,2,1,0
166,1417,3,1,0
166,11,1,0,0
166,3014,2,1,0
166,1421,1,0,0
166,3,3,1,0
166,7,1,1,0
166,905,1,1,1
166,1552,1,0,0
166,906,3,2,1
166,1578,1,1,0
166,898,3,1,1
166,336,2,0,0
166,2008,1,0,0
193,2842,3,0,0
193,663,3,0,0
193,101,3,0,0
193,520,2,1,0
202,2842,3,1,0
202,570,3,1,0
202,2848,1,0,0
202,2844,3,0,0
202,572,1,0,0
202,565,3,1,0
202,1755,1,0,0
202,664,1,0,0
202,663,3,1,0
202,3577,2,0,0
202,666,3,1,0
202,522,3,1,0
202,527,1,0,0
202,3779,3,1,0
202,528,1,1,0
202,2539,2,0,0
202,2532,3,3,0
202,526,2,0,0
202,101,3,1,1
202,97,2,1,0
202,2560,1,0,0
202,107,1,0,0
202,103,1,0,0
202,1804,1,0,0
202,529,1,0,0
203,2844,1,1,1
203,1751,1,0,0
203,2223,1,0,0
203,665,1,0,0
203,664,1,1,0
203,666,1,0,0
203,2539,1,0,0
203,1505,1,1,1
203,1499,3,0,0
203,526,1,0,0
203,1804,1,0,0
203,520,2,0,0
203,528,1,1,0
209,2842,4,0,0
209,570,4,0,0
209,2844,4,1,0
209,565,3,0,0
209,2223,3,1,0
209,665,1,0,0
209,663,4,0,0
209,666,3,2,0
209,522,3,1,0
209,526,2,0,0
209,3779,6,1,0
209,529,2,0,0
209,2532,4,0,0
209,101,3,0,0
209,97,2,1,0
209,2560,1,0,0
209,2562,1,1,0
209,107,1,0,0
209,1499,3,1,0
209,100,1,0,0
209,103,1,1,0
209,527,1,0,0
209,520,2,0,0
210,572,1,0,0
210,2848,1,0,0
210,2844,1,0,0
210,3573,1,0,0
210,2539,1,0,0
210,529,2,1,0
210,2562,1,0,0
210,528,2,0,0
210,526,1,1,0
210,1804,1,0,0
211,2842,3,1,0
211,572,1,0,0
211,570,3,1,0
211,2844,4,2,0
211,565,2,0,0
211,1751,1,0,0
211,2223,2,0,0
211,2225,1,1,0
211,665,1,0,0
211,663,4,2,0
211,666,3,0,0
211,3573,1,1,0
211,522,2,0,0
211,527,2,1,0
211,3779,6,2,1
211,1804,2,0,0
211,2532,6,2,1
211,101,2,1,1
211,1505,1,0,0
211,97,2,1,0
211,2560,1,0,0
211,2562,1,1,0
211,107,1,1,0
211,1499,3,0,0
211,100,1,0,0
211,103,1,1,0
211,520,3,1,0
211,528,1,0,0
213,2842,3,1,0
213,570,2,0,0
213,2844,4,2,0
213,565,3,1,0
213,1751,1,0,0
213,2223,2,0,0
213,2225,1,0,0
213,665,1,0,0
213,663,4,0,0
213,666,3,0,0
213,522,2,0,0
213,527,1,1,0
213,526,2,0,0
213,3779,5,1,0
213,2539,2,1,0
213,2532,5,0,0
213,529,1,0,0
213,101,3,2,0
213,1505,1,0,0
213,97,2,2,0
213,2560,1,0,0
213,107,1,0,0
213,1499,2,1,0
213,100,1,0,0
213,520,3,1,1
236,381,1,1,0
236,2647,2,0,0
236,3929,1,0,0
239,1134,1,1,0
239,1322,1,0,0
249,7,1,0,0
249,1720,1,1,0
249,614,1,0,0
249,1746,1,0,0
249,622,1,0,0
249,624,1,0,0
249,2871,1,0,0
249,4652,1,1,0
249,1176,1,0,0
249,2873,1,0,0
249,2539,1,0,0
249,528,1,0,0
249,522,3,1,0
249,527,1,1,0
249,1368,2,0,0
249,1370,1,0,0
250,382,3,1,0
250,3281,1,0,0
250,378,3,1,0
250,1582,1,0,0
250,1581,1,0,0
250,381,2,0,0
250,1591,1,1,0
250,389,1,0,0
250,385,1,0,0
250,1134,3,0,0
250,1140,1,0,0
250,1133,3,1,1
250,1135,1,1,0
250,2007,3,2,1
250,2005,1,1,0
250,342,3,1,0
250,3520,1,1,0
250,2008,1,0,0
250,2647,2,1,0
250,337,1,0,0
250,1320,4,1,0
250,1323,1,0,0
250,1322,3,0,0
250,1326,1,0,0
250,2065,3,1,0
250,289,1,0,0
250,3901,2,1,0
250,2705,2,1,0
250,3912,3,0,0
251,385,1,1,0
251,1582,1,0,0
251,1581,1,1,0
251,1140,1,0,0
251,1133,1,0,0
251,2005,1,0,0
251,4593,1,0,0
251,1322,1,1,0
251,3929,1,0,0
252,1581,1,0,0
252,381,1,1,0
252,1591,1,0,0
252,385,1,0,0
252,1134,1,1,0
252,2005,1,0,0
252,3520,1,0,0
252,2647,1,1,0
252,1318,2,0,0
252,1323,1,0,0
252,1322,1,0,0
252,2065,1,0,0
252,3929,2,1,0
252,2062,1,0,0
252,3907,1,1,1
252,3912,3,0,0
252,2705,1,1,0
254,382,2,0,0
254,385,1,1,0
254,378,2,0,0
254,1582,2,1,0
254,381,2,0,0
254,1134,2,0,0
254,1615,1,0,0
254,1140,1,1,0
254,1133,3,1,0
254,2007,3,1,0
254,2005,2,1,0
254,342,2,0,0
254,3520,1,0,0
254,2647,3,0,0
254,337,1,0,0
254,1320,3,1,0
254,4593,1,0,0
254,1318,3,2,0
254,1323,1,0,0
254,1322,3,0,0
254,2065,3,1,0
254,2709,1,1,0
254,3929,2,1,0
254,2062,1,0,0
254,3907,1,0,0
254,3901,3,0,0
255,382,3,3,0
255,385,2,1,1
255,378,1,1,0
255,1582,1,0,0
255,381,2,0,0
255,1591,1,1,0
255,1581,1,0,0
255,1134,2,0,0
255,1613,1,0,0
255,1140,1,0,0
255,1133,4,1,0
255,2007,3,2,1
255,342,3,0,0
255,2005,2,0,0
255,2647,3,0,0
255,1320,2,1,0
255,1318,1,0,0
255,1322,3,1,0
255,2065,3,0,0
255,2709,2,0,0
255,3929,3,1,0
255,2057,1,1,0
255,3907,2,0,0
255,289,1,0,0
255,3901,3,0,0
255,3912,3,2,0
256,382,2,0,0
256,3281,1,0,0
256,378,2,0,0
256,381,3,3,1
256,1591,1,0,0
256,385,1,0,0
256,1134,3,1,1
256,1613,1,0,0
256,1133,3,1,1
256,1135,1,0,0
256,2007,3,0,0
256,2005,2,1,0
256,2008,1,1,0
256,342,3,2,0
256,2654,1,0,0
256,3520,1,0,0
256,2647,2,1,0
256,1320,4,0,0
256,1318,3,1,0
256,1323,1,1,0
256,1326,1,0,0
256,1322,4,0,0
256,2065,3,1,0
256,3907,1,0,0
256,289,1,0,0
256,3901,3,0,0
256,3912,3,0,0
256,2705,1,0,0
259,382,3,0,0
259,3281,1,1,0
259,385,1,0,0
259,378,3,2,1
259,1582,1,0,0
259,1581,1,0,0
259,381,2,0,0
259,1591,1,1,0
259,389,1,0,0
259,1134,3,2,1
259,1133,3,2,1
259,1135,1,0,0
259,2007,2,0,0
259,2005,2,0,0
259,342,2,0,0
259,2654,1,1,0
259,3520,1,0,0
259,2647,3,2,1
259,1320,2,1,0
259,1318,3,1,0
259,1322,3,2,1
259,1326,1,0,0
259,2065,2,0,0
259,2062,1,0,0
259,3929,2,1,0
259,2063,1,1,0
259,3907,1,1,1
259,3901,1,1,1
259,3912,2,1,1
259,2705,1,0,0
260,382,2,1,0
260,3281,1,0,0
260,378,3,0,0
260,1582,1,0,0
260,1581,1,1,0
260,381,3,0,0
260,1591,1,0,0
260,389,1,1,0
260,385,1,0,0
260,1134,3,1,0
260,1140,1,0,0
260,1133,3,0,0
260,2007,3,2,0
260,2005,2,2,1
260,2008,1,0,0
260,342,3,1,0
260,2654,1,1,1
260,3520,1,0,0
260,2647,3,0,0
260,1320,3,2,0
260,1318,3,1,1
260,1323,1,1,1
260,1326,2,1,0
260,1322,3,1,0
260,2065,4,0,0
260,3929,3,1,1
260,2063,1,1,1
260,3907,2,0,0
260,289,1,1,0
260,3901,2,0,0
260,2705,1,1,0
288,430,2,0,0
288,1982,1,0,0
288,1973,1,0,0
288,943,1,0,0
288,949,1,1,0
297,430,3,1,1
297,3220,1,0,0
297,424,3,2,0
297,436,1,0,0
297,428,3,1,0
297,429,1,0,0
297,2756,2,0,0
297,2767,1,1,0
297,1973,1,0,0
297,1980,1,1,0
297,1982,3,1,0
297,2764,1,1,0
297,759,1,0,0
297,3581,3,2,0
297,3573,1,0,0
297,662,2,2,1
297,3572,1,0,0
297,3070,1,1,0
297,3068,3,0,0
297,1944,1,0,0
300,3220,1,1,0
300,435,1,0,0
300,759,1,0,0
300,2223,1,0,0
301,430,1,0,0
301,424,2,0,0
301,436,1,0,0
301,428,2,0,0
301,429,1,0,0
304,435,1,0,0
305,430,3,1,1
305,424,3,1,0
305,436,1,1,0
305,428,3,1,1
305,429,1,0,0
305,2759,2,0,0
305,1975,1,0,0
305,2767,1,0,0
305,758,1,1,1
305,1980,1,0,0
305,1982,1,1,1
305,2764,1,1,0
305,759,1,0,0
305,3581,1,0,0
305,2225,1,0,0
305,662,3,0,0
305,3572,1,0,0
305,3577,1,0,0
305,2223,3,1,0
305,669,1,0,0
305,945,4,0,0
305,943,3,0,0
305,952,1,1,0
305,2366,1,0,0
305,3069,2,0,0
305,1944,2,0,0
305,1952,2,0,0
305,236,0,0,0
305,3245,1,1,0
305,3070,1,0,0
305,3249,2,0,0
305,3067,3,2,0
305,3068,3,3,2
308,430,3,0,0
308,424,2,0,0
308,436,1,1,0
308,428,4,1,1
308,2759,3,1,0
308,1975,1,0,0
308,1980,2,1,0
308,2756,1,0,0
308,758,1,1,0
308,1982,3,0,0
308,1973,1,1,0
308,2764,1,0,0
308,759,1,0,0
308,3581,3,1,0
