player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr
2,2024,3,10550,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,2024,3,10570,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,2024,3,10592,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,2024,3,10611,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,2024,3,10637,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,2024,3,10641,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,2024,3,10669,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,2024,3,10698,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,2024,3,10738,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
3,2024,3,10562,200,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195,0,0.0000
3,2024,3,10606,200,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199,0,0.0000
3,2024,3,10655,200,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247,0,0.0000
3,2024,3,10698,200,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195,0,0.0000
3,2024,3,10738,200,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163,0,0.0000
3,2024,3,64,200,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195,0,0.0000
3,2024,3,134,200,1,0,1,3,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0541,0,0.0000
3,2024,3,213,200,1,0,1,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378,0,0.0000
4,2024,3,10538,200,1,0,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0132,0,0.0000
4,2024,3,10577,200,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0330,0,0.0000
4,2024,3,10625,200,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0229,0,0.0000
4,2024,3,10669,200,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359,0,0.0000
4,2024,3,10704,200,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283,0,0.0000
4,2024,3,9,200,1,0,1,3,1,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0550,0,0.0000
4,2024,3,78,200,1,0,1,3,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298,0,0.0000
4,2024,3,148,200,1,0,1,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583,0,0.0000
4,2024,3,228,200,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122,0,0.0000
5,2024,3,10538,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
5,2024,3,10557,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
