team_id,player_id,list_id
1,5283,1
1,616,2
1,613,3
1,612,4
1,613,1
1,613,2
1,614,3
1,614,1
1,2483,2
1,616,3
1,1720,2
1,618,3
1,616,1
1,1719,2
1,1745,3
1,618,2
1,622,3
1,618,1
1,1725,2
1,624,3
1,2481,2
1,627,3
1,1745,1
1,624,2
1,628,3
1,1746,2
1,629,3
1,622,1
1,622,2
1,631,3
1,4356,2
1,632,3
1,624,1
1,614,2
1,633,3
1,631,2
1,635,3
1,627,2
1,636,3
1,627,1
1,629,2
1,637,3
1,628,1
1,632,2
1,4356,3
1,629,1
1,2500,2
1,2483,3
1,635,2
1,1720,3
1,631,1
1,636,2
1,1719,3
1,632,1
1,1733,2
1,2481,3
1,633,1
1,2489,2
1,1725,3
1,637,2
1,1746,3
1,635,1
1,633,2
1,2500,3
1,636,1
1,1745,2
1,1733,3
1,637,1
1,628,2
1,2489,3
1,612,3
1,2492,3
1,1734,3
1,2501,3
1,2491,3
1,2485,3
1,4356,1
1,2483,1
1,1720,1
1,1719,1
1,2481,1
1,1725,1
1,1746,1
1,2500,1
1,1733,1
1,2489,1
1,612,1
2,236,1
2,3068,2
2,236,3
2,237,1
2,3069,2
2,237,3
2,1952,1
2,239,2
2,1952,3
2,1954,4
2,239,1
2,236,2
2,239,3
2,62,1
2,1952,2
2,62,3
2,3067,1
2,242,2
2,3067,3
2,242,1
2,3070,2
2,242,3
2,3249,2
2,246,3
2,246,2
2,250,3
2,3245,2
2,251,3
2,246,1
2,237,2
2,252,3
2,3067,2
2,254,3
2,1944,2
2,255,3
2,256,2
2,256,3
2,250,1
2,259,2
2,259,3
2,251,1
2,251,2
2,260,3
2,252,1
2,250,2
2,3264,3
2,252,2
2,3068,3
2,254,1
2,1962,2
2,3069,3
2,255,1
2,3089,2
2,3070,3
2,256,1
2,62,2
2,1944,3
2,3264,2
2,1962,3
2,255,2
2,3089,3
2,259,1
2,254,2
2,1967,3
2,260,1
2,260,2
2,3245,3
2,1967,2
2,3249,3
2,1966,3
2,3086,3
2,3076,3
2,1949,3
2,3264,1
2,1950,3
2,3068,1
2,3069,1
2,3070,1
2,1944,1
2,1954,1
2,1962,1
2,3089,1
2,1967,1
2,3245,1
2,3249,1
3,5,2
3,3,3
3,4,2
3,4,3
3,3,1
3,1417,2
3,5,3
3,4,1
3,1416,2
3,7,3
3,5,1
3,3014,2
3,8,3
3,7,2
3,11,3
3,7,1
3,11,2
3,3620,3
3,8,1
3,8,2
3,22,3
3,3,2
3,14,3
3,1421,2
3,19,3
3,11,1
3,3013,2
3,20,3
3,3620,1
3,1423,2
3,25,3
3,22,1
3,1414,2
3,3014,3
3,14,1
3,25,2
3,1417,3
3,14,2
3,3013,3
3,19,2
3,1416,3
3,20,2
3,1421,3
3,1428,2
3,1414,3
3,19,1
3,3031,2
3,1423,3
3,20,1
3,1434,2
3,3031,3
3,1424,2
3,1428,3
3,1429,2
3,1434,3
3,1435,2
3,1424,3
3,22,2
3,1429,3
3,25,1
3,3620,2
3,1435,3
3,1431,2
3,1431,3
3,1436,3
3,1426,3
3,3014,1
3,1417,1
3,3013,1
3,1416,1
3,1421,1
3,1414,1
3,1423,1
3,3031,1
3,1428,1
3,1434,1
3,1424,1
3,1429,1
3,1435,1
3,1431,1
4,377,1
4,382,2
4,377,3
4,385,4
4,378,1
4,381,2
4,378,3
4,2595,4
4,397,1
4,1579,2
4,1598,3
4,397,4
4,1598,1
4,378,2
4,381,3
4,381,1
4,1580,2
4,382,3
4,382,1
4,389,2
4,2237,3
4,2237,1
4,3281,2
4,385,3
4,1595,1
4,1581,2
4,384,3
4,385,1
4,1582,2
4,3294,3
4,384,1
4,377,2
4,389,3
4,3294,1
4,1591,2
4,1602,3
4,384,2
4,391,3
4,389,1
4,1587,2
4,394,3
4,1602,1
4,394,2
4,398,3
4,391,1
4,1598,2
4,1599,3
4,398,2
4,1579,3
4,2237,2
4,1580,3
4,394,1
4,1603,2
4,1581,3
4,1599,2
4,1582,3
4,1604,2
4,1591,3
4,1605,2
4,1587,3
4,398,1
4,391,2
4,1597,3
4,1599,1
4,1597,2
4,1603,3
4,3294,2
4,1605,3
4,1602,2
4,1604,3
4,1595,2
4,3281,3
4,1595,3
4,2608,3
4,2610,3
4,2602,3
4,2600,3
4,2595,1
4,1579,1
4,1580,1
4,1581,1
4,1582,1
4,1591,1
4,1587,1
4,1597,1
4,1603,1
4,1605,1
4,1604,1
4,3281,1
5,2721,1
5,2079,2
5,2721,3
5,2726,1
5,288,2
5,2726,3
5,5017,1
5,3929,2
5,288,3
5,2065,2
5,289,3
5,3912,2
5,2057,3
5,288,1
5,3901,2
5,2705,3
5,289,1
5,289,2
5,297,3
5,2707,1
5,2709,2
5,3922,3
5,3907,2
5,300,3
5,2057,1
5,2705,2
5,305,3
5,2705,1
5,2067,2
5,308,3
5,2062,2
5,2065,3
5,2063,2
5,2062,3
5,2057,2
5,2067,3
5,297,1
5,305,2
5,2063,3
5,2074,2
5,2709,3
5,3922,1
5,2712,2
5,2074,3
5,300,1
5,297,2
5,2079,3
5,2726,2
5,2712,3
5,2721,2
5,2072,3
5,3919,2
5,2725,3
5,3922,2
5,3929,3
5,305,1
5,308,2
5,3901,3
5,2725,2
5,3912,3
5,300,2
5,3907,3
5,308,1
5,2072,2
5,3919,3
5,304,3
5,2708,3
5,2060,3
5,301,3
5,2706,3
5,2065,1
5,2062,1
5,2067,1
5,2063,1
5,2709,1
5,2074,1
5,2079,1
5,2712,1
5,2072,1
5,2725,1
5,3929,1
5,3901,1
5,3912,1
5,3907,1
5,3919,1
6,565,1
6,570,2
6,565,3
6,3850,4
6,2856,1
6,565,2
6,2856,3
6,1747,4
6,2855,1
6,2844,2
6,2855,3
6,1767,4
6,1767,1
6,2842,2
6,1767,3
6,2852,1
6,573,2
6,2852,3
6,570,1
6,1755,2
6,570,3
6,571,1
6,571,2
6,571,3
6,572,1
6,572,2
6,572,3
6,573,1
6,2839,2
6,573,3
6,574,1
6,574,2
6,574,3
6,1766,1
6,2848,2
6,1766,3
6,1751,2
6,3859,3
6,1749,2
6,583,3
6,3859,1
6,583,2
6,587,3
6,1774,2
6,1749,3
6,587,2
6,2842,3
6,2860,2
6,2844,3
6,1773,2
6,2839,3
6,583,1
6,2852,2
6,1755,3
6,2855,2
6,1751,3
6,1765,2
6,2848,3
6,2856,2
6,1774,3
6,587,1
6,1766,2
6,2860,3
6,2854,2
6,1773,3
6,3859,2
6,1765,3
6,2863,2
6,2854,3
6,2863,3
6,578,3
6,3850,1
6,2865,3
6,1749,1
6,2864,3
6,2842,1
6,2844,1
6,2839,1
6,1755,1
6,1747,1
6,1751,1
6,2848,1
6,1774,1
6,2860,1
6,1773,1
6,1765,1
6,2854,1
6,2863,1
7,524,2
7,542,3
7,542,1
7,522,2
7,520,3
7,520,1
7,3779,2
7,522,3
