player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
7257,2024,0,0,0,10,1,94,393,0,109,61,437,0,43,55,51,0,0,0,3,16,14,4,6,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,285,0,0,0.7752,0.3700
7258,2024,0,0,0,10,1,94,400,0,112,36,440,0,40,51,50,0,0,0,3,14,14,4,6,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,285,0,0,0.6412,0.8039
7259,2024,0,0,0,10,1,125,503,0,130,111,554,0,51,56,52,0,0,0,2,19,19,8,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,377,0,0,2.9655,2.2548
7261,2024,0,0,0,10,1,99,407,0,106,61,441,0,32,45,41,0,0,0,2,15,15,6,4,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,299,0,0,1.7072,1.7246
7262,2024,0,0,0,10,1,135,536,0,125,112,579,0,40,43,42,0,0,0,3,20,20,10,5,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,408,0,0,3.6319,4.5073
7264,2024,0,0,0,10,1,32,128,0,30,31,138,0,10,14,11,0,0,0,1,21,0,2,1,16,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,97,0,0,0.4570,0.2973
7267,2024,0,0,0,11,1,70,300,0,59,92,319,0,19,17,16,0,0,0,2,15,9,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,212,0,0,2.7053,2.8690
7268,2024,0,0,0,10,1,30,126,0,32,30,144,0,17,20,18,0,0,0,2,20,0,1,3,14,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,92,0,0,-0.3430,-0.4094
7271,2024,0,0,0,10,1,94,370,0,92,102,440,0,67,57,54,0,0,0,1,17,14,3,6,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,283,0,0,0.3613,0.1195
7273,2024,0,0,0,11,1,110,441,0,72,176,478,0,34,19,18,0,0,0,1,16,16,9,2,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,331,0,0,5.5033,5.8594
