team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
11,2024,200,1,1,543,140,594,241,146,101,49,39,69,66,167,135,2149,0,16,16,7,9,5,97,24,7,2,4,21,0,0,0,2,3,15,11,10,8,3,37,1,0,12,4,5,12.0857,0.2689,0.3203,0.4438,0.7641,9.3857,6.4929,1.3500,2.5071,0.0625,4.3322,0.6250,0.4375,3.0625,0.6250,0.3750,0.4054,4.2429,134.3125,0.0000,1.3214,0.5530,2.5897,0.2955
12,2024,200,1,1,540,139,611,266,149,103,60,58,86,85,158,137,2290,1,16,16,7,9,6,86,35,6,4,2,26,0,0,3,2,3,16,15,8,9,3,45,0,0,4,3,9,13.5646,0.2759,0.3471,0.4926,0.8397,9.6244,6.6531,1.6794,3.7464,0.0000,5.1212,0.5000,0.4375,3.7500,0.6667,0.3333,0.3556,5.4904,143.1250,0.0000,1.4856,0.5356,1.7759,0.2964
13,2024,200,1,1,522,134,591,228,139,93,35,54,80,77,152,140,2153,1,15,15,6,9,4,92,26,4,2,0,21,2,0,1,6,9,15,11,5,7,3,49,0,1,9,7,6,13.5335,0.2663,0.3441,0.4368,0.7809,9.3127,6.2308,1.4069,3.6179,0.0000,4.9573,0.3333,0.4000,2.3333,0.5714,0.4286,0.3061,5.1588,143.5333,0.0000,1.4367,0.5205,1.7222,0.2878
14,2024,200,1,1,568,154,636,213,130,126,22,56,55,55,150,167,2410,0,17,17,10,7,6,89,18,4,3,4,19,1,0,2,4,5,17,13,9,6,0,44,0,3,9,3,2,11.1623,0.2289,0.3022,0.3750,0.6772,7.5974,7.3636,1.1104,3.2727,0.0000,4.0419,0.5294,0.5882,1.2941,1.0000,0.0000,0.3864,3.2143,141.7647,0.0000,1.2078,0.4732,2.2500,0.2606
15,2024,200,1,1,576,153,637,211,132,123,48,51,62,49,165,153,2392,2,16,16,9,7,4,90,22,3,4,3,17,0,0,3,5,3,16,11,7,7,3,55,0,1,7,4,8,10.8937,0.2292,0.2934,0.3663,0.6597,7.7310,7.2039,0.9957,2.9870,0.0000,3.7580,0.4375,0.5625,3.0000,0.5714,0.4286,0.2909,2.8698,149.5000,0.0000,1.1909,0.5189,2.4118,0.2614
16,2024,200,1,1,481,128,538,172,110,124,28,46,56,53,126,124,2048,2,15,15,5,10,4,77,18,6,3,1,14,0,0,3,4,2,15,9,7,6,2,40,0,0,14,3,11,11.0518,0.2287,0.2970,0.3576,0.6546,7.6943,8.6736,0.9793,3.2176,0.0000,0.0000,0.4667,0.3333,1.8667,0.6667,0.3333,0.3750,3.7073,128.0000,0.0000,1.2124,0.5040,2.6957,0.2775
17,2024,200,1,1,586,158,673,231,141,140,60,69,76,75,166,149,2536,0,18,18,11,7,6,90,31,3,7,1,19,2,0,2,5,8,18,15,7,10,4,55,0,0,22,2,11,12.4177,0.2406,0.3254,0.3942,0.7196,8.0316,7.9747,1.0823,3.9304,0.0000,0.0000,0.3889,0.6111,3.3333,0.6000,0.4000,0.3273,4.2722,115.2727,0.0000,1.3291,0.5270,2.0290,0.2811
18,2024,200,1,1,578,142,624,287,170,137,34,39,91,85,135,135,2318,0,16,16,6,10,1,107,33,1,3,6,24,0,0,0,2,3,16,14,5,4,3,53,0,0,7,2,7,13.4366,0.2941,0.3403,0.4965,0.8368,10.7746,8.6831,1.5211,2.4718,0.0000,0.0000,0.3125,0.3750,2.1250,0.2500,0.7500,0.3019,5.3873,122.0000,0.0000,1.4718,0.5000,3.5128,0.3476
19,2024,200,1,1,558,145,637,240,147,97,40,66,84,84,150,168,2308,1,16,16,5,11,2,99,24,5,2,3,21,0,0,8,10,6,16,14,4,6,4,50,0,1,11,3,6,13.5619,0.2634,0.3465,0.4301,0.7766,9.1032,6.0069,1.3005,4.0872,0.0000,0.0000,0.2500,0.3125,2.5000,0.3333,0.6667,0.3200,5.2018,115.4000,0.0000,1.4656,0.4717,1.4697,0.2851
20,2024,200,1,1,523,141,588,195,120,123,76,50,54,49,146,139,2208,0,16,16,10,6,2,71,35,5,6,2,12,1,0,0,1,4,15,12,8,3,1,39,1,3,4,1,4,11.1064,0.2294,0.2985,0.3728,0.6713,7.6596,7.8511,0.7660,3.1915,0.0625,0.0000,0.5000,0.6250,4.7500,0.6667,0.3333,0.3846,3.1277,116.2105,0.0000,1.2057,0.5123,2.4600,0.2741
21,2024,200,1,1,544,139,610,236,143,106,49,57,86,81,158,135,2242,1,16,16,8,8,4,95,25,2,1,1,22,0,0,5,7,6,16,13,9,6,2,37,0,0,11,3,1,13.3062,0.2629,0.3388,0.4338,0.7726,9.2368,6.8469,1.4211,3.6818,0.0000,0.0000,0.5625,0.5000,3.0625,0.6667,0.3333,0.4324,5.2321,131.8824,0.0000,1.4354,0.5392,1.8596,0.2902
22,2024,200,1,1,548,137,616,245,163,104,45,53,82,77,167,122,2176,1,16,16,5,11,4,117,27,8,3,2,17,0,1,4,5,3,16,16,7,5,1,38,0,0,21,2,1,14.3519,0.2974,0.3608,0.4471,0.8079,10.6820,6.8155,1.1141,3.4733,0.0000,0.0000,0.4375,0.3125,2.8125,0.8000,0.2000,0.4211,5.0461,128.0000,0.0000,1.5728,0.5779,1.9623,0.3395
23,2024,200,1,1,538,142,601,226,139,110,52,47,76,74,149,147,2191,0,16,16,9,7,6,87,34,6,5,1,17,0,0,4,6,5,16,16,9,9,3,40,0,1,8,3,5,12.1056,0.2584,0.3210,0.4201,0.7411,8.8099,6.9718,1.0775,2.9789,0.0000,0.0000,0.5625,0.5625,3.2500,0.6667,0.3333,0.4000,4.6901,128.8824,0.0000,1.3099,0.5034,2.3404,0.2933
24,2024,200,1,1,547,141,612,231,142,111,43,57,76,76,143,153,2237,0,16,16,7,9,2,95,25,2,3,2,20,1,0,6,3,3,16,12,6,4,2,49,0,0,10,2,3,12.8936,0.2596,0.3311,0.4223,0.7535,9.0638,7.0851,1.2766,3.6383,0.0000,0.0000,0.3750,0.4375,2.6875,0.5000,0.5000,0.3265,4.8511,106.5238,0.0000,1.4113,0.4831,1.9474,0.2912
