player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md
1,2024,116,7555,203,4,1,2,5,0,0,1,8,0,2,0,0,1,3,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.1723,11.4000,0,6,1,0
1,2024,116,7566,203,4,1,2,6,0,0,1,6,0,0,0,0,1,4,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735,3.9000,0,6,0,0
2,2024,3,10550,200,1,19,1,3,0,0,1,3,0,0,0,0,0,2,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0318,1.4000,0,3,0,0
2,2024,3,10570,200,1,19,1,6,0,3,2,6,0,0,0,0,1,0,18,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0401,10.4000,0,3,0,0
2,2024,3,10592,200,1,19,1,4,0,1,2,4,0,0,1,1,0,1,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0721,1.5000,0,3,0,1
2,2024,3,10611,200,1,19,3,11,0,2,0,12,0,1,1,1,4,5,25,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.0210,7.3000,0,9,0,0
2,2024,3,10637,200,1,19,1,3,0,1,1,4,0,0,0,0,2,0,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1377,9.4000,0,3,1,0
2,2024,3,10641,200,1,19,1,3,0,0,2,3,0,0,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0556,2.3000,0,3,0,0
2,2024,3,10669,200,1,19,2,7,0,1,1,8,0,1,1,1,1,4,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0357,12.9000,0,6,0,0
2,2024,3,10698,200,1,19,1,3,0,0,0,5,0,1,0,0,0,3,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0504,8.2000,0,3,0,0
2,2024,3,10738,200,1,19,2,8,0,2,4,9,0,1,2,2,2,0,38,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.1113,3.4000,0,6,0,1
2,2024,41,2449,201,2,1,3,14,0,4,4,14,0,0,2,2,3,3,54,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0109,3.8000,0,10,0,0
2,2024,41,2505,201,2,1,1,8,0,3,2,10,0,2,1,1,0,3,31,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0002,1.5000,0,5,0,0
3,2024,3,10562,200,1,19,3,10,0,1,1,12,0,2,0,0,2,6,44,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1323,13.6000,0,9,0,0
3,2024,3,10606,200,1,19,3,11,0,3,5,12,1,1,0,0,1,2,46,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1381,12.0000,0,9,0,0
3,2024,3,10655,200,1,19,4,13,0,1,5,14,3,1,0,0,3,4,48,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1613,13.5000,0,12,0,0
3,2024,3,10698,200,1,19,5,18,0,3,4,18,0,0,0,0,6,5,75,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2495,15.0000,0,15,0,0
3,2024,3,10738,200,1,19,5,19,0,3,2,19,1,0,3,2,2,9,72,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.1575,16.0000,0,15,0,0
3,2024,3,64,200,1,1,3,16,0,6,0,19,0,3,6,4,5,4,67,1,1,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2949,19.8000,0,10,0,0
3,2024,3,134,200,1,1,7,26,0,7,8,27,5,1,3,3,4,7,110,0,1,1,1,0,0,4,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0119,27.4000,0,21,0,0
3,2024,3,213,200,1,1,5,23,0,6,6,27,4,4,4,4,5,6,99,2,1,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.2541,35.4000,0,17,0,0
4,2024,3,10538,200,1,19,4,14,0,3,3,15,5,1,1,1,4,4,49,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1361,14.3000,0,12,0,0
4,2024,3,10577,200,1,19,3,13,0,4,4,14,0,1,0,0,2,3,60,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1173,14.5000,0,9,0,0
4,2024,3,10625,200,1,19,4,18,0,8,2,19,3,0,2,2,6,3,64,0,1,1,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0425,24.8000,0,12,0,0
4,2024,3,10669,200,1,19,5,19,0,4,5,19,3,0,1,1,2,8,60,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1342,17.0000,0,15,0,0
