team_id,year,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp
16,2024,200,1,0,542,497,128,104,184,95,20,3,10,5,3,45,45,37,2,3,6,5,0,15,15,135,33,0,0.2575,0.3100,0.3702,55.3467,3.7547,0.1127,0.0000,0.6802,62.5000
17,2024,200,1,0,695,620,179,113,296,111,41,5,22,5,2,93,95,67,4,2,4,6,0,11,18,162,68,0,0.2887,0.3568,0.4774,107.8176,6.2739,0.1887,0.0000,0.8343,71.4286
18,2024,200,1,0,627,553,136,130,222,91,23,3,19,18,1,67,69,63,4,7,2,4,0,16,16,144,45,0,0.2459,0.3285,0.4014,75.6120,4.6398,0.1555,0.0000,0.7300,94.7368
19,2024,200,1,0,608,562,139,98,217,97,23,2,17,15,3,60,62,39,3,4,5,3,0,10,16,144,42,0,0.2473,0.2993,0.3861,65.9900,4.0129,0.1388,0.0000,0.6855,83.3333
20,2024,200,1,0,670,588,175,117,295,111,35,2,27,8,2,107,109,72,3,8,4,2,0,10,16,144,64,0,0.2976,0.3806,0.5017,116.2001,7.2794,0.2041,0.0000,0.8823,80.0000
21,2024,200,1,0,621,561,161,96,275,102,30,3,26,17,3,81,82,55,7,2,4,3,0,13,16,144,59,0,0.2870,0.3510,0.4902,97.1151,6.1988,0.2032,0.0000,0.8412,85.0000
22,2024,200,1,0,593,536,136,111,216,95,20,3,18,8,3,62,63,48,0,5,2,4,0,15,16,144,41,0,0.2537,0.3187,0.4030,68.1298,4.3385,0.1493,0.0000,0.7217,72.7273
23,2024,200,1,0,592,534,135,121,204,96,23,2,14,19,4,72,74,51,4,5,4,2,0,14,16,144,39,0,0.2528,0.3226,0.3820,66.9127,4.2710,0.1292,0.0000,0.7047,82.6087
24,2024,200,1,0,592,542,146,111,223,104,24,1,17,15,5,61,62,46,2,3,4,1,0,15,16,144,42,0,0.2694,0.3294,0.4114,72.1200,4.6253,0.1421,0.0000,0.7408,75.0000
25,2024,200,1,0,603,549,134,126,222,91,19,3,21,0,1,71,73,51,1,1,3,2,0,8,16,144,43,0,0.2441,0.3085,0.4044,69.4740,4.3725,0.1603,0.0000,0.7128,0.0000
26,2024,200,1,0,601,533,131,118,204,89,26,1,15,17,3,73,75,58,2,6,7,4,0,9,16,144,42,0,0.2458,0.3245,0.3827,70.6356,4.4874,0.1370,0.0000,0.7072,85.0000
27,2024,200,1,0,574,509,120,106,211,77,19,0,24,8,4,62,63,55,4,9,4,1,0,14,15,135,43,0,0.2358,0.3206,0.4145,67.0203,4.3921,0.1788,0.0000,0.7351,66.6667
28,2024,200,1,0,596,537,131,155,235,73,34,2,22,19,6,70,71,50,3,4,0,5,0,12,16,144,58,0,0.2439,0.3104,0.4376,73.0597,4.5982,0.1937,0.0000,0.7480,76.0000
29,2024,200,1,0,680,620,170,129,260,113,39,3,15,6,2,86,86,52,3,4,7,4,0,20,18,162,57,0,0.2742,0.3324,0.4194,83.9221,4.6913,0.1452,0.0000,0.7517,75.0000
30,2024,200,1,0,561,499,128,101,214,81,26,3,18,24,1,52,55,55,7,3,2,4,0,14,15,135,47,0,0.2565,0.3316,0.4289,73.7639,5.0807,0.1723,0.0000,0.7604,96.0000
31,2024,201,2,0,355,327,107,47,163,71,24,4,8,4,0,54,55,20,0,4,1,4,0,11,9,81,36,0,0.3272,0.3690,0.4985,58.6247,6.7071,0.1713,0.0000,0.8675,100.0000
32,2024,201,2,0,314,289,71,52,124,36,24,4,7,10,3,32,33,20,0,4,1,1,1,3,9,81,35,0,0.2457,0.3025,0.4291,38.5610,4.6068,0.1834,0.0000,0.7316,76.9231
33,2024,201,2,0,354,319,85,62,140,56,14,4,11,2,2,37,37,28,0,5,0,2,0,4,9,81,29,0,0.2665,0.3333,0.4389,47.6664,5.3182,0.1724,0.0000,0.7722,50.0000
34,2024,201,2,0,361,322,87,58,131,60,18,1,8,1,2,47,47,35,1,3,1,1,1,11,9,81,27,0,0.2702,0.3463,0.4068,43.9894,4.7509,0.1366,0.0000,0.7531,33.3333
35,2024,201,2,0,331,298,63,72,101,39,17,0,7,10,1,29,31,29,0,3,3,1,0,7,9,81,24,0,0.2114,0.2870,0.3389,30.3719,3.3200,0.1275,0.0000,0.6259,90.9091
36,2024,201,2,0,379,332,77,59,144,42,19,0,16,10,2,40,42,39,0,5,0,3,0,5,10,90,35,0,0.2319,0.3193,0.4337,48.7884,4.9709,0.2018,0.0000,0.7530,83.3333
37,2024,201,2,0,340,306,67,65,98,43,20,1,3,7,2,28,29,27,1,6,0,1,0,5,9,81,24,0,0.2190,0.2941,0.3203,30.2195,3.3033,0.1013,0.0000,0.6144,77.7778
38,2024,201,2,0,346,309,85,58,128,60,16,0,9,1,2,45,46,32,0,4,3,1,0,9,9,81,25,0,0.2751,0.3497,0.4142,44.1135,4.9835,0.1392,0.0000,0.7640,33.3333
39,2024,201,2,0,339,302,73,61,120,50,11,0,12,2,1,38,39,30,0,5,4,2,0,11,9,81,23,0,0.2417,0.3186,0.3974,37.2973,4.0770,0.1556,0.0000,0.7159,66.6667
40,2024,201,2,0,329,296,69,62,113,44,14,3,8,7,3,31,34,29,1,2,1,2,0,8,9,81,25,0,0.2331,0.3040,0.3818,33.9818,3.8071,0.1486,0.0000,0.6857,70.0000
41,2024,201,2,0,327,296,69,55,118,39,20,1,9,2,2,30,30,22,2,6,0,3,1,7,9,81,30,0,0.2331,0.2966,0.3986,34.2743,3.8720,0.1655,0.0000,0.6953,50.0000
42,2024,201,2,0,358,325,89,58,141,59,18,2,10,4,2,40,40,26,1,5,1,2,0,5,9,81,30,0,0.2738,0.3352,0.4338,47.9825,5.2664,0.1600,0.0000,0.7690,66.6667
43,2024,201,2,0,348,305,74,57,112,52,14,0,8,16,2,43,44,34,1,6,3,3,0,3,9,81,22,0,0.2426,0.3276,0.3672,41.4821,4.6282,0.1246,0.0000,0.6948,88.8889
44,2024,201,2,0,357,315,84,60,133,57,15,2,10,6,1,37,40,32,0,8,2,2,0,10,9,81,27,0,0.2667,0.3473,0.4222,46.7738,5.1337,0.1556,0.0000,0.7696,85.7143
45,2024,201,2,0,376,348,86,75,141,55,19,0,12,15,0,45,47,24,0,3,2,1,0,5,10,90,31,0,0.2471,0.3005,0.4052,44.9657,4.4966,0.1580,0.0000,0.7057,100.0000
46,2024,201,2,0,377,331,88,44,150,59,12,1,16,7,4,49,49,39,1,4,1,3,0,7,10,90,29,0,0.2659,0.3475,0.4532,52.9016,5.5362,0.1873,0.0000,0.8007,63.6364
47,2024,201,2,0,325,306,65,50,95,51,6,0,8,4,2,21,22,16,0,3,4,0,0,4,9,81,14,0,0.2124,0.2585,0.3105,24.6802,2.6548,0.0980,0.0000,0.5689,66.6667
48,2024,201,2,0,331,304,79,64,108,58,17,0,4,8,5,20,23,23,0,3,1,1,0,9,9,81,21,0,0.2599,0.3172,0.3553,32.8806,3.6837,0.0954,0.0000,0.6725,61.5385
49,2024,201,2,0,371,339,89,52,139,63,13,2,11,8,2,36,38,29,0,2,1,1,0,10,10,90,26,0,0.2625,0.3235,0.4100,44.2045,4.5209,0.1475,0.0000,0.7335,80.0000
50,2024,201,2,0,382,342,88,68,144,53,24,1,10,6,0,37,39,37,0,1,1,2,0,12,10,90,35,0,0.2573,0.3298,0.4211,47.1954,4.7371,0.1637,0.0000,0.7509,100.0000
51,2024,201,2,0,398,363,103,75,158,73,17,1,12,3,1,47,50,26,0,7,4,2,0,11,10,90,30,0,0.2837,0.3417,0.4353,52.8265,5.1306,0.1515,0.0000,0.7770,75.0000
52,2024,201,2,0,340,315,67,59,99,48,12,1,6,6,1,26,27,22,0,0,1,3,0,6,9,81,19,0,0.2127,0.2618,0.3143,26.4324,2.7555,0.1016,0.0000,0.5761,85.7143
53,2024,201,2,0,373,336,83,66,133,52,21,1,9,10,4,35,36,34,3,2,0,1,0,9,10,90,31,0,0.2470,0.3190,0.3958,41.8601,4.2330,0.1488,0.0000,0.7149,71.4286
54,2024,201,2,0,389,346,94,62,153,59,23,0,12,12,2,50,51,39,1,2,1,2,0,8,10,90,35,0,0.2717,0.3470,0.4422,54.8718,5.5907,0.1705,0.0000,0.7892,85.7143
